evaluation_date,agent_name,team_manager,campaign,channel,call_reason,coaching_status,tenure_bucket,shift,qa_evaluator,qa_score,aht_seconds,csat_score,nps_score,compliance_score,resolution_rate,target_met,critical_error_flag
2025-06-10,Agent_051,Team F,Tech Support,Voice,Billing Issue,Coached,7-12 months,Mid,Evaluator 3,77.4,840.0,3.82,25,87.8,67.0,Not Met,No
2025-11-10,Agent_056,Team D,Billing,Voice,Billing Issue,Not Coached,7-12 months,Night,Evaluator 4,74.4,770.0,4.09,49,86.9,76.0,Not Met,Yes
2025-01-22,Agent_083,Team C,Retail Support,Voice,Account Access,Not Coached,12+ months,Night,Evaluator 2,86.0,661.0,3.89,38,93.1,75.1,Met,No
2025-09-10,Agent_062,Team A,Claims,Voice,Escalation,Not Coached,12+ months,Morning,Evaluator 1,77.5,726.0,3.87,35,88.3,81.7,Not Met,No
2025-08-24,Agent_032,Team C,Billing,Chat,Account Access,Coached,4-6 months,Morning,Evaluator 2,78.0,601.0,3.63,27,88.4,73.8,Not Met,No
2025-12-11,Agent_030,Team C,Claims,Email,Account Access,Not Coached,12+ months,Morning,Evaluator 1,84.3,555.0,3.96,32,92.1,77.6,Not Met,No
2025-02-18,Agent_029,Team C,Sales,Email,Order Status,Coached,0-3 months,Night,Evaluator 1,81.5,335.0,4.31,42,85.5,73.4,Not Met,No
2025-02-28,Agent_049,Team D,Tech Support,Chat,Complaint,Coached,4-6 months,Morning,Evaluator 1,78.9,654.0,3.8,31,94.2,71.2,Not Met,No
2025-06-19,Agent_045,Team D,Retail Support,Voice,Complaint,Coached,7-12 months,Mid,Evaluator 4,80.6,721.0,3.51,18,91.7,68.9,Not Met,No
2025-07-07,Agent_093,Team D,Claims,Email,Escalation,Coached,4-6 months,Night,Evaluator 3,79.6,545.0,4.59,47,86.0,82.3,Not Met,No
2025-09-28,Agent_030,Team E,Banking Support,Email,Order Status,Not Coached,12+ months,Morning,Evaluator 3,86.9,484.0,4.1,48,89.7,76.9,Met,No
2025-07-09,Agent_016,Team E,Claims,Voice,Policy Question,Not Coached,0-3 months,Mid,Evaluator 4,66.0,796.0,3.56,15,83.4,72.9,Not Met,Yes
2025-06-24,Agent_040,Team E,Banking Support,Chat,Order Status,Coached,7-12 months,Morning,Evaluator 3,94.5,489.0,4.36,37,98.5,67.9,Met,No
2025-02-20,Agent_019,Team F,Billing,Voice,Account Access,Coached,12+ months,Morning,Evaluator 4,80.5,731.0,3.95,25,88.9,81.7,Not Met,No
2025-12-30,Agent_018,Team A,Retail Support,Chat,Billing Issue,Coached,12+ months,Night,Evaluator 2,92.0,413.0,4.61,59,93.7,83.6,Met,No
2025-02-24,Agent_001,Team B,Claims,Email,Refund Request,Coached,0-3 months,Morning,Evaluator 4,77.1,672.0,4.17,44,85.2,74.4,Not Met,No
2025-09-01,Agent_078,Team A,Claims,Voice,Escalation,Not Coached,4-6 months,Morning,Evaluator 3,69.1,783.0,3.55,17,89.1,68.1,Not Met,Yes
2025-11-16,Agent_115,Team D,Retail Support,Email,Policy Question,Not Coached,7-12 months,Night,Evaluator 3,84.0,534.0,4.19,24,90.2,81.0,Not Met,No
2025-05-11,Agent_047,Team F,Claims,Chat,Cancellation,Coached,0-3 months,Morning,Evaluator 2,71.2,627.0,4.3,46,83.9,72.1,Not Met,Yes
2025-11-03,Agent_114,Team B,Banking Support,Email,Refund Request,Coached,12+ months,Night,Evaluator 4,93.6,475.0,3.98,25,95.0,76.9,Met,No
2025-05-15,Agent_066,Team F,Claims,Voice,Refund Request,Not Coached,12+ months,Night,Evaluator 2,80.7,748.0,3.63,33,89.4,69.4,Not Met,No
2025-01-21,Agent_118,Team A,Tech Support,Chat,Order Status,Not Coached,0-3 months,Morning,Evaluator 1,83.9,460.0,3.93,32,91.9,72.8,Not Met,No
2025-11-25,Agent_092,Team F,Billing,Voice,Technical Troubleshooting,Coached,0-3 months,Morning,Evaluator 4,73.8,823.0,3.92,36,85.1,70.8,Not Met,Yes
2025-06-16,Agent_113,Team C,Sales,Voice,Refund Request,Coached,0-3 months,Mid,Evaluator 2,76.1,651.0,3.91,34,92.5,69.7,Not Met,No
2025-10-01,Agent_114,Team A,Banking Support,Voice,Account Access,Not Coached,12+ months,Mid,Evaluator 2,86.9,669.0,3.58,24,94.1,70.7,Met,No
2025-03-30,Agent_094,Team C,Tech Support,Email,Upsell Inquiry,Coached,0-3 months,Morning,Evaluator 3,86.6,556.0,4.01,26,89.5,75.8,Met,No
2025-11-12,Agent_038,Team B,Billing,Chat,Billing Issue,Coached,4-6 months,Mid,Evaluator 4,87.9,527.0,4.03,41,90.6,69.4,Met,No
2025-01-14,Agent_051,Team B,Retail Support,Email,Billing Issue,Not Coached,4-6 months,Morning,Evaluator 1,85.2,503.0,4.03,31,85.8,83.0,Met,No
2025-08-30,Agent_063,Team B,Banking Support,Email,Upsell Inquiry,Not Coached,7-12 months,Night,Evaluator 1,86.5,508.0,3.91,43,89.6,87.1,Met,No
2025-09-22,Agent_004,Team E,Sales,Voice,Complaint,Not Coached,0-3 months,Morning,Evaluator 4,62.8,625.0,3.86,22,78.5,66.2,Not Met,Yes
2025-12-12,Agent_001,Team D,Billing,Voice,Account Access,Not Coached,4-6 months,Morning,Evaluator 4,82.0,619.0,4.19,42,88.6,79.7,Not Met,No
2025-02-22,Agent_008,Team B,Sales,Voice,Cancellation,Not Coached,12+ months,Morning,Evaluator 2,81.9,570.0,3.91,31,92.1,80.0,Not Met,No
2025-12-06,Agent_029,Team D,Retail Support,Voice,Refund Request,Coached,12+ months,Night,Evaluator 3,74.4,697.0,3.63,28,93.9,75.0,Not Met,Yes
2025-04-02,Agent_055,Team E,Retail Support,Voice,Complaint,Coached,12+ months,Mid,Evaluator 3,81.3,730.0,3.77,20,94.5,72.3,Not Met,No
2025-09-21,Agent_103,Team B,Banking Support,Voice,Account Access,Coached,0-3 months,Night,Evaluator 3,81.9,607.0,4.13,36,87.9,77.1,Not Met,No
2025-02-04,Agent_003,Team C,Claims,Voice,Order Status,Coached,4-6 months,Morning,Evaluator 4,70.6,773.0,3.67,4,80.8,71.1,Not Met,Yes
2025-07-25,Agent_032,Team A,Retail Support,Voice,Billing Issue,Not Coached,7-12 months,Morning,Evaluator 3,86.3,625.0,3.7,25,100.0,67.0,Met,No
2025-03-22,Agent_010,Team B,Billing,Voice,Complaint,Not Coached,4-6 months,Morning,Evaluator 2,73.5,604.0,4.13,33,86.0,83.8,Not Met,Yes
2025-02-19,Agent_074,Team E,Claims,Voice,Escalation,Not Coached,12+ months,Mid,Evaluator 4,63.8,862.0,3.96,27,91.0,72.1,Not Met,Yes
2025-12-26,Agent_083,Team B,Tech Support,Email,Refund Request,Not Coached,7-12 months,Mid,Evaluator 4,78.6,471.0,4.13,49,84.2,79.7,Not Met,Yes
2025-01-02,Agent_110,Team D,Sales,Chat,Refund Request,Coached,0-3 months,Mid,Evaluator 3,75.8,533.0,3.71,26,89.8,73.6,Not Met,No
2025-02-23,Agent_034,Team E,Claims,Email,Cancellation,Coached,12+ months,Morning,Evaluator 1,77.0,615.0,3.88,40,86.6,76.0,Not Met,No
2025-04-16,Agent_097,Team A,Sales,Voice,Technical Troubleshooting,Not Coached,12+ months,Night,Evaluator 1,71.6,738.0,3.97,28,83.1,80.8,Not Met,Yes
2025-09-17,Agent_087,Team D,Claims,Voice,Escalation,Not Coached,0-3 months,Morning,Evaluator 2,61.2,751.0,3.61,18,85.6,71.8,Not Met,Yes
2025-11-06,Agent_055,Team B,Tech Support,Chat,Refund Request,Not Coached,7-12 months,Night,Evaluator 3,74.8,648.0,4.08,21,89.3,77.5,Not Met,Yes
2025-07-10,Agent_092,Team F,Retail Support,Voice,Policy Question,Not Coached,4-6 months,Morning,Evaluator 3,77.7,733.0,3.61,31,87.0,67.2,Not Met,No
2025-08-06,Agent_032,Team C,Tech Support,Voice,Escalation,,4-6 months,Mid,Evaluator 4,63.4,756.0,3.73,27,86.3,69.4,Not Met,Yes
2025-02-13,Agent_050,Team E,Retail Support,Voice,Refund Request,Not Coached,0-3 months,Morning,Evaluator 4,59.6,744.0,3.61,27,82.2,69.0,Not Met,Yes
2025-06-11,Agent_007,Team D,Retail Support,Voice,Upsell Inquiry,Coached,7-12 months,Mid,Evaluator 3,91.8,676.0,4.13,39,92.9,79.4,Met,No
2025-07-21,Agent_093,Team A,Sales,Voice,Escalation,Not Coached,12+ months,Mid,Evaluator 4,84.0,686.0,3.98,36,93.6,75.2,Not Met,No
2025-09-27,Agent_008,Team D,Billing,Voice,Account Access,Not Coached,7-12 months,Mid,Evaluator 3,72.3,635.0,3.94,37,90.7,80.3,Not Met,Yes
2025-12-17,Agent_065,Team F,Tech Support,Chat,Escalation,Coached,0-3 months,Morning,Evaluator 2,73.6,701.0,3.67,44,86.1,67.4,Not Met,Yes
2025-10-31,Agent_057,Team D,Claims,Voice,Cancellation,Not Coached,7-12 months,Mid,Evaluator 4,75.2,803.0,3.82,27,87.3,73.2,Not Met,No
2025-09-28,Agent_119,Team E,Tech Support,Voice,Order Status,Coached,4-6 months,Mid,Evaluator 3,77.6,669.0,3.78,43,88.4,72.7,Not Met,No
2025-08-03,Agent_067,Team F,Sales,Chat,Order Status,Not Coached,12+ months,Night,Evaluator 4,87.0,405.0,4.0,43,89.7,75.8,Met,No
2025-09-09,Agent_088,Team B,Retail Support,Voice,Order Status,Coached,4-6 months,Morning,Evaluator 2,88.9,680.0,3.97,37,89.0,74.5,Met,No
2025-07-09,Agent_087,Team B,Sales,Voice,Account Access,Not Coached,0-3 months,Mid,Evaluator 4,74.3,606.0,3.99,39,88.3,71.3,Not Met,Yes
2025-10-23,Agent_059,Team D,Banking Support,Email,Complaint,Coached,0-3 months,Mid,Evaluator 3,69.1,595.0,3.92,9,89.8,80.8,Not Met,Yes
2025-08-01,Agent_072,Team C,Banking Support,Voice,Order Status,Not Coached,12+ months,Morning,Evaluator 4,78.2,646.0,4.1,32,86.8,74.0,Not Met,No
2025-07-27,Agent_054,Team E,Claims,Voice,Billing Issue,Coached,4-6 months,Mid,Evaluator 4,77.5,675.0,3.89,23,90.9,74.4,Not Met,No
2025-08-25,Agent_111,Team F,Sales,Voice,Account Access,Coached,12+ months,Morning,Evaluator 3,82.7,721.0,3.65,44,88.3,70.8,Not Met,No
2025-12-04,Agent_101,Team C,Claims,Voice,Complaint,Coached,4-6 months,Morning,Evaluator 1,70.7,673.0,4.16,32,83.9,74.5,Not Met,Yes
2025-02-22,Agent_067,Team B,Claims,Voice,Billing Issue,Not Coached,4-6 months,Morning,Evaluator 4,73.2,703.0,4.03,34,90.4,71.6,Not Met,Yes
2025-10-07,Agent_051,Team E,Banking Support,Chat,Billing Issue,Coached,7-12 months,Morning,Evaluator 4,88.7,555.0,4.21,35,95.2,74.0,Met,No
2025-08-05,Agent_097,Team B,Claims,Voice,Billing Issue,Coached,12+ months,Mid,Evaluator 2,81.8,784.0,3.98,22,90.6,86.1,Not Met,No
2025-09-09,Agent_092,Team E,Banking Support,Voice,Policy Question,Not Coached,12+ months,Mid,Evaluator 1,76.8,741.0,3.26,12,89.8,71.6,Not Met,No
2025-07-07,Agent_111,Team C,Retail Support,Voice,Cancellation,Coached,4-6 months,Night,Evaluator 2,71.7,842.0,3.94,35,83.7,68.9,Not Met,Yes
2025-02-10,Agent_008,Team D,Sales,Voice,Cancellation,Not Coached,4-6 months,Mid,Evaluator 3,76.5,659.0,3.94,17,86.0,78.2,Not Met,No
2025-06-06,Agent_034,Team A,Claims,Chat,Account Access,Coached,0-3 months,Morning,Evaluator 3,84.6,502.0,4.2,44,93.2,74.6,Not Met,No
2025-01-15,Agent_035,Team D,Banking Support,Voice,Billing Issue,Not Coached,7-12 months,Night,Evaluator 2,78.8,688.0,4.05,29,92.5,77.1,Not Met,No
2025-10-28,Agent_096,Team C,Tech Support,Voice,Upsell Inquiry,Coached,7-12 months,Night,Evaluator 4,88.0,697.0,4.3,47,93.0,76.5,Met,No
2025-03-06,Agent_088,Team D,Claims,Voice,Escalation,Coached,12+ months,Mid,Evaluator 1,91.4,776.0,3.8,34,97.0,76.3,Met,No
2025-12-11,Agent_078,Team B,Billing,Voice,Complaint,Not Coached,12+ months,Mid,Evaluator 2,82.3,666.0,3.84,19,83.9,85.7,Not Met,Yes
2025-11-23,Agent_032,Team E,Retail Support,Voice,Cancellation,Not Coached,4-6 months,Night,Evaluator 2,66.7,758.0,3.51,17,81.1,67.0,Not Met,Yes
2025-01-09,Agent_120,Team F,Retail Support,Chat,Order Status,Not Coached,7-12 months,Mid,Evaluator 3,78.7,495.0,3.84,36,90.5,85.1,Not Met,No
2025-12-10,Agent_046,Team B,Tech Support,Voice,Account Access,Coached,12+ months,Night,Evaluator 4,70.6,670.0,3.77,28,86.4,79.2,Not Met,Yes
2025-05-09,Agent_107,Team A,Banking Support,Voice,Complaint,Coached,12+ months,Morning,Evaluator 1,80.4,788.0,3.53,28,91.2,79.1,Not Met,No
2025-05-16,Agent_016,Team A,Claims,Voice,Account Access,Coached,0-3 months,Morning,Evaluator 2,81.5,665.0,4.05,37,94.2,75.4,Not Met,No
2025-03-04,Agent_068,Team D,Banking Support,Chat,Upsell Inquiry,Not Coached,4-6 months,Mid,Evaluator 1,87.9,430.0,4.59,55,87.5,87.2,Met,No
2025-05-19,Agent_116,Team D,Retail Support,Voice,Policy Question,Coached,4-6 months,Mid,Evaluator 1,87.1,680.0,4.41,46,93.4,73.7,Met,No
2025-03-22,Agent_037,Team D,Banking Support,Chat,Policy Question,Coached,4-6 months,Night,Evaluator 2,82.1,448.0,4.0,37,91.1,82.2,Not Met,No
2025-06-12,Agent_054,Team B,Retail Support,Chat,Billing Issue,Coached,0-3 months,Night,Evaluator 1,83.8,542.0,3.97,35,85.8,81.1,Not Met,No
2025-10-16,Agent_085,Team C,Banking Support,Email,Policy Question,Not Coached,0-3 months,Morning,Evaluator 3,82.9,349.0,4.36,33,78.5,75.8,Not Met,Yes
2025-09-18,Agent_014,Team D,Tech Support,Voice,Account Access,Coached,7-12 months,Morning,Evaluator 4,78.7,683.0,4.09,48,92.7,80.4,Not Met,No
2025-08-19,Agent_095,Team C,Sales,Voice,Order Status,Not Coached,4-6 months,Night,Evaluator 4,69.5,672.0,3.84,52,91.4,72.6,Not Met,Yes
2025-02-10,Agent_055,Team F,Tech Support,Chat,Billing Issue,Coached,0-3 months,Mid,Evaluator 4,73.1,562.0,3.93,31,84.4,70.1,Not Met,Yes
2025-01-28,Agent_048,Team A,Tech Support,Email,Refund Request,Not Coached,4-6 months,Morning,Evaluator 3,88.4,552.0,4.32,44,89.5,71.7,Met,No
2025-05-15,Agent_082,Team E,Sales,Email,Complaint,Coached,12+ months,Mid,Evaluator 3,79.3,525.0,3.81,37,84.7,78.3,Not Met,Yes
2025-07-20,Agent_007,Team C,Sales,Voice,Upsell Inquiry,Not Coached,12+ months,Mid,Evaluator 3,83.9,531.0,4.12,43,86.8,82.2,Not Met,No
2025-11-24,Agent_074,Team C,Claims,Voice,Billing Issue,Not Coached,7-12 months,Night,Evaluator 4,71.0,772.0,3.82,29,88.7,63.6,Not Met,Yes
2025-09-25,Agent_007,Team E,Claims,Voice,Account Access,Coached,4-6 months,Mid,Evaluator 1,73.6,775.0,3.74,17,89.2,71.6,Not Met,Yes
2025-02-02,Agent_033,Team E,Tech Support,Chat,Complaint,Not Coached,12+ months,Morning,Evaluator 3,80.0,661.0,4.03,46,89.3,78.4,Not Met,No
2025-02-17,Agent_023,Team F,Tech Support,Voice,Order Status,Coached,4-6 months,Night,Evaluator 2,74.6,646.0,3.95,38,81.7,69.9,Not Met,Yes
2025-03-03,Agent_085,Team A,Retail Support,Voice,Technical Troubleshooting,Not Coached,4-6 months,Mid,Evaluator 3,78.0,737.0,3.76,33,88.4,70.8,Not Met,No
2025-08-04,Agent_019,Team A,Retail Support,Chat,Upsell Inquiry,Not Coached,4-6 months,Morning,Evaluator 2,76.7,614.0,4.02,31,86.6,78.4,Not Met,No
2025-10-20,Agent_112,Team E,Claims,Voice,Account Access,Coached,0-3 months,Morning,Evaluator 4,75.6,683.0,3.43,20,83.4,74.4,Not Met,Yes
2025-04-09,Agent_019,Team D,Billing,Email,Upsell Inquiry,Coached,4-6 months,Mid,Evaluator 2,81.3,604.0,4.17,24,90.4,83.1,Not Met,No
2025-06-21,Agent_036,Team B,Billing,Voice,Cancellation,Coached,12+ months,Morning,Evaluator 3,87.1,824.0,4.04,40,96.7,71.5,Met,No
2025-12-26,Agent_029,Team A,Claims,Voice,Technical Troubleshooting,Coached,7-12 months,Morning,Evaluator 3,80.8,859.0,3.7,37,94.1,69.8,Not Met,No
2025-08-02,Agent_060,Team A,Retail Support,Voice,Complaint,Coached,4-6 months,Mid,Evaluator 1,82.0,721.0,3.75,33,96.8,81.2,Not Met,No
2025-02-04,Agent_082,Team F,Retail Support,Chat,Policy Question,Coached,12+ months,Morning,Evaluator 4,93.5,489.0,4.03,28,89.9,77.9,Met,No
2025-08-15,Agent_002,Team B,,Voice,Account Access,Coached,0-3 months,Mid,Evaluator 2,69.9,660.0,3.9,36,83.1,75.3,Not Met,Yes
2025-04-11,Agent_001,Team C,Banking Support,Voice,Upsell Inquiry,Not Coached,4-6 months,Morning,Evaluator 4,79.3,617.0,3.91,37,91.6,82.6,Not Met,No
2025-05-11,Agent_047,Team B,Banking Support,Email,Complaint,Coached,7-12 months,Mid,Evaluator 3,85.9,532.0,4.48,38,93.8,82.5,Met,No
2025-09-14,Agent_069,Team C,Retail Support,Voice,Policy Question,Coached,7-12 months,Morning,Evaluator 1,87.3,600.0,4.3,45,87.1,79.8,Met,No
2025-01-05,Agent_020,Team A,Banking Support,Voice,Order Status,Not Coached,0-3 months,Morning,Evaluator 3,83.2,587.0,4.16,44,89.8,80.0,Not Met,No
2025-08-06,Agent_011,Team D,Sales,Voice,Order Status,Coached,4-6 months,Morning,Evaluator 3,89.7,657.0,4.01,33,94.0,77.6,Met,No
2025-09-12,Agent_106,Team A,Claims,Voice,Upsell Inquiry,Coached,7-12 months,Night,Evaluator 3,90.9,596.0,3.9,31,93.5,82.0,Met,No
2025-12-25,Agent_002,Team E,Claims,Chat,Billing Issue,Coached,7-12 months,Night,Evaluator 2,86.3,619.0,4.3,35,85.8,74.4,Met,No
2025-10-10,Agent_067,Team B,Retail Support,Voice,Cancellation,Not Coached,7-12 months,Morning,Evaluator 3,87.6,611.0,3.93,26,88.7,81.5,Met,No
2025-07-26,Agent_087,Team D,Tech Support,Voice,Billing Issue,,4-6 months,Night,Evaluator 4,74.3,795.0,3.85,33,89.4,73.2,Not Met,Yes
2025-01-15,Agent_119,Team F,Billing,Voice,Cancellation,Coached,0-3 months,Mid,Evaluator 4,74.0,719.0,3.97,37,88.0,65.7,Not Met,Yes
2025-12-12,Agent_012,Team D,Retail Support,Chat,Account Access,Not Coached,4-6 months,Night,Evaluator 1,81.8,563.0,4.03,46,93.4,77.7,Not Met,No
2025-02-11,Agent_020,Team D,Banking Support,Voice,Refund Request,Coached,0-3 months,Morning,Evaluator 4,81.5,702.0,4.14,40,88.1,64.1,Not Met,No
2025-06-28,Agent_005,Team C,Billing,Voice,Upsell Inquiry,Not Coached,12+ months,Mid,Evaluator 3,84.1,529.0,4.11,38,85.5,81.1,Not Met,No
2025-03-04,Agent_037,Team C,Tech Support,Voice,Escalation,Not Coached,7-12 months,Morning,Evaluator 3,72.4,800.0,3.94,27,96.2,70.4,Not Met,Yes
2025-12-18,Agent_038,Team D,Banking Support,Voice,Upsell Inquiry,Not Coached,4-6 months,Morning,Evaluator 4,86.3,664.0,4.02,29,90.0,82.1,Met,No
2025-08-19,Agent_094,Team F,Sales,Voice,Technical Troubleshooting,Coached,12+ months,Night,Evaluator 1,88.6,713.0,3.93,28,95.4,77.9,Met,No
2025-08-29,Agent_009,Team D,Banking Support,Voice,Policy Question,Coached,7-12 months,Mid,Evaluator 1,83.4,737.0,3.95,45,94.8,79.0,Not Met,No
2025-02-21,Agent_098,Team D,Sales,Chat,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 4,86.7,529.0,4.09,43,91.7,74.2,Met,No
2025-04-06,Agent_053,Team E,Billing,Voice,Order Status,Not Coached,12+ months,Morning,Evaluator 2,78.4,581.0,3.65,28,87.2,79.3,Not Met,No
2025-08-10,Agent_044,Team C,Sales,Email,Cancellation,Not Coached,12+ months,Mid,Evaluator 2,77.9,410.0,3.91,18,79.3,78.3,Not Met,Yes
2025-08-19,Agent_099,Team A,Billing,Email,Policy Question,Not Coached,7-12 months,Mid,Evaluator 2,85.2,462.0,4.35,47,88.0,85.3,Met,No
2025-08-25,Agent_116,Team D,Billing,Voice,Order Status,Not Coached,0-3 months,Morning,Evaluator 2,68.4,621.0,3.64,19,88.1,69.2,Not Met,Yes
2025-05-23,Agent_086,Team F,Billing,Voice,Policy Question,Coached,7-12 months,Night,Evaluator 4,70.7,822.0,3.72,17,81.7,73.0,Not Met,Yes
2025-06-20,Agent_108,Team B,Billing,Voice,Billing Issue,Not Coached,12+ months,Morning,Evaluator 1,77.2,754.0,3.64,18,91.5,69.9,Not Met,No
2025-01-29,Agent_024,Team E,Billing,Chat,Order Status,Not Coached,0-3 months,Morning,Evaluator 3,75.2,528.0,3.78,22,85.4,74.1,Not Met,No
2025-02-05,Agent_081,Team B,Banking Support,Voice,Billing Issue,Not Coached,4-6 months,Night,Evaluator 3,79.4,725.0,3.8,37,91.7,80.9,Not Met,No
2025-01-13,Agent_074,Team D,Billing,Voice,Billing Issue,Not Coached,12+ months,Morning,Evaluator 4,86.1,701.0,3.85,34,93.9,78.9,Met,No
2025-06-09,Agent_030,Team A,Banking Support,Voice,Policy Question,Not Coached,0-3 months,Morning,Evaluator 3,72.5,722.0,3.53,20,91.6,71.8,Not Met,Yes
2025-11-23,Agent_120,Team C,Billing,Chat,Complaint,Coached,12+ months,Mid,Evaluator 2,81.7,569.0,3.99,28,96.2,68.4,Not Met,No
2025-07-06,Agent_059,Team E,Sales,Chat,Technical Troubleshooting,Not Coached,7-12 months,Night,Evaluator 1,75.3,562.0,3.72,30,91.0,74.0,Not Met,No
2025-08-31,Agent_110,Team C,Billing,Voice,Order Status,Coached,4-6 months,Morning,Evaluator 4,80.3,535.0,3.86,36,88.5,78.5,Not Met,No
2025-03-27,Agent_087,Team D,Tech Support,Chat,Escalation,Not Coached,0-3 months,Night,Evaluator 1,68.1,630.0,4.07,38,85.8,71.4,Not Met,Yes
2025-10-11,Agent_096,Team E,Billing,Voice,Complaint,Not Coached,12+ months,Night,Evaluator 4,74.8,707.0,4.02,21,88.4,79.5,Not Met,Yes
2025-03-07,Agent_081,Team F,Billing,Voice,Technical Troubleshooting,Coached,4-6 months,Morning,Evaluator 4,78.8,744.0,3.56,22,88.5,73.1,Not Met,No
2025-06-19,Agent_114,Team B,Sales,Email,Order Status,Not Coached,7-12 months,Mid,Evaluator 4,91.1,354.0,4.59,67,94.3,86.8,Met,No
2025-02-14,Agent_115,Team C,Claims,Voice,Cancellation,Coached,7-12 months,Morning,Evaluator 4,72.4,792.0,3.67,15,91.2,73.2,Not Met,Yes
2025-03-03,Agent_081,Team B,Sales,Voice,Technical Troubleshooting,Coached,7-12 months,Morning,Evaluator 1,81.5,762.0,3.76,32,90.8,73.2,Not Met,No
2025-05-14,Agent_014,Team F,Tech Support,Voice,Escalation,Coached,12+ months,Night,Evaluator 3,77.4,826.0,3.63,42,96.2,71.5,Not Met,No
2025-10-11,Agent_009,Team F,Claims,Email,Upsell Inquiry,Not Coached,7-12 months,Night,Evaluator 4,86.9,526.0,4.06,34,88.1,74.3,Met,No
